date,country,course,off_time,race_name,race_type,race_class,distance,distance_furlongs,going,surface,number_of_runners,card_number,position,draw,horse_id,horse,age,sex,weight_carried_lbs,sp_dec,jockey,trainer,prize,official_rating,sire,dam,damsire
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,8,1.0,9,5055591,Back Before Dark (GB),2,F,128,7.0,Sam James,Grant Tuer,4320.0,,Territories (IRE),Out Of The Dark (IRE),Kyllachy
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,10,2.0,8,5048082,Consoling (IRE),2,F,128,9.0,Cam Hardie,Ollie Pears,2028.0,,Inns Of Court (IRE),Solace (USA),Langfuhr
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,11,3.0,2,5127976,Misemerald (IRE),2,F,128,101.0,Andrew Mullen,Philip Kirby,1014.4,,Zoffany (IRE),Rocaverde (IRE),Rock Of Gibraltar
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,5,4.0,10,5061638,Project Geofin (GB),2,G,130,3.25,Harry Russell,Geoff Oldroyd,507.2,,Calyx (GB),Bond Artist (IRE),Excellent Art
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,9,5.0,5,4990395,Chumbaa (IRE),2,F,128,4.0,Jason Hart,Roger Fell & Sean Murray,,,Belardo (IRE),Hayba (GB),Invincible Spirit
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,1,6.0,6,5127979,Coin Power (FR),2,C,133,19.0,David Allan,Tim Easterby,,,Donjuan Triumphant (IRE),Whitefountainfairy (IRE),Casamento
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,7,7.0,11,5125896,The Good Biscuit (GB),2,C,133,12.0,Paul Mulrennan,Jack Channon,,,Sixties Icon (GB),Rebecca Romero (GB),Exceed And Excel
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,4,8.0,13,5073371,Marton Heads (GB),2,C,130,67.0,Sean Kirrane,Tim Easterby,,,Outstrip (GB),Space Capsule (GB),Selkirk
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,12,9.0,7,5017675,Patasola (IRE),2,F,123,67.0,Aiden Brookes,Micky Hammond,,,Bungle Inthejungle (GB),Gizi Gazelle (IRE),Fast Company
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,3,10.0,3,5127977,Good Morning Alex (GB),2,C,133,12.0,Joe Fanning,David & Nicola Barron,,,Land Force (IRE),Secret Charge (GB),Recharge
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,13,11.0,12,4827186,Roswood (GB),2,F,128,15.0,Oisin Orr,Richard Fahey,,,Birchwood (IRE),Roslea Lady (IRE),Alhaarth
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,2,12.0,4,5127981,Entrecasteaux (IRE),2,C,130,26.0,Jonny Peate,Roger Fell & Sean Murray,,,Gregorian (IRE),Leigh On Sea (IRE),Born To Sea
2023-06-19,GB,Carlisle,14:20,Join Racing TV Now Restricted Maiden Stakes (For horses In Band D) (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,13,6,13.0,1,5106059,Secret Command (IRE),2,C,133,21.0,Barry McHugh,Adrian Nicholls,,,Kodiac (GB),Beat The Stars (IRE),Verglas
2023-06-19,GB,Carlisle,16:20,Racing With Pride Handicap (Jockey Club Grassroots Middle Distance Series),Flat,Class 6,1m3f,11f,Good To Soft,Turf,7,3,1.0,1,3726904,Gibside (GB),4,G,137,5.5,David Allan,Tim Easterby,3402.1,67.0,Time Test (GB),Ardbrae Tara (IRE),Galileo
2023-06-19,GB,Carlisle,16:20,Racing With Pride Handicap (Jockey Club Grassroots Middle Distance Series),Flat,Class 6,1m3f,11f,Good To Soft,Turf,7,1,2.0,2,3617940,Graces Quest (GB),5,M,137,3.5,Paul Mulrennan,Jim Goldie,1596.4,67.0,Telescope (IRE),Ballinargh Girl (IRE),Footstepsinthesand
2023-06-19,GB,Carlisle,16:20,Racing With Pride Handicap (Jockey Club Grassroots Middle Distance Series),Flat,Class 6,1m3f,11f,Good To Soft,Turf,7,6,3.0,7,3803241,Peripeteia (GB),5,M,130,6.5,Jason Hart,Philip Kirby,797.55,60.0,Sir Percy (GB),Archduchess (GB),Archipenko
2023-06-19,GB,Carlisle,16:20,Racing With Pride Handicap (Jockey Club Grassroots Middle Distance Series),Flat,Class 6,1m3f,11f,Good To Soft,Turf,7,7,4.0,3,3225257,We Still Believe (IRE),5,G,122,4.33,Billy Garritty,Daragh Bourke,399.1,52.0,Lawman (FR),Curious Lashes (IRE),Footstepsinthesand
2023-06-19,GB,Carlisle,16:20,Racing With Pride Handicap (Jockey Club Grassroots Middle Distance Series),Flat,Class 6,1m3f,11f,Good To Soft,Turf,7,8,5.0,5,4336812,Robin Goodfellow (IRE),4,G,109,19.0,William Pyle,Tracy Waggott,198.9,46.0,Dark Angel (IRE),Bergamask (USA),Kingmambo
2023-06-19,GB,Carlisle,16:20,Racing With Pride Handicap (Jockey Club Grassroots Middle Distance Series),Flat,Class 6,1m3f,11f,Good To Soft,Turf,7,5,6.0,8,3701269,Iconique (GB),5,M,130,11.0,Paula Muir,Rebecca Menzies,,63.0,Sixties Icon (GB),Rose Cheval (USA),Johannesburg
2023-06-19,GB,Carlisle,16:20,Racing With Pride Handicap (Jockey Club Grassroots Middle Distance Series),Flat,Class 6,1m3f,11f,Good To Soft,Turf,7,4,7.0,6,3526615,Glittering Choice (GB),4,F,135,7.5,Cieren Fallon,Hugo Palmer,,65.0,Havana Gold (IRE),Adorable Choice (IRE),Choisir
2023-06-19,GB,Carlisle,14:50,Enjoy A Racing TV Free Trial Fillies Novice Stakes (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,6,2,1.0,2,5101969,Angel From Above (IRE),3,F,128,6.0,Billy Garritty,Keith Dalgleish,4320.0,,Galileo Gold (GB),Cartoon (GB),Danehill Dancer
2023-06-19,GB,Carlisle,14:50,Enjoy A Racing TV Free Trial Fillies Novice Stakes (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,6,5,2.0,1,4175518,Lady Dreamer (IRE),3,F,128,2.0,Jason Hart,Tom Ward,2028.0,80.0,Dandy Man (IRE),Weekend Getaway (IRE),Acclamation
2023-06-19,GB,Carlisle,14:50,Enjoy A Racing TV Free Trial Fillies Novice Stakes (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,6,4,3.0,6,5096521,Canaria Queen (GB),3,F,128,81.0,David Allan,Tim Easterby,1014.4,,Pastoral Pursuits (GB),Gran Canaria Queen (GB),Compton Place
2023-06-19,GB,Carlisle,14:50,Enjoy A Racing TV Free Trial Fillies Novice Stakes (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,6,1,4.0,5,5127982,Sky High Girl (GB),4,F,132,23.0,Harry Russell,Geoff Oldroyd,507.2,,Muhaarar (GB),Forevers Girl (GB),Monsieur Bond
2023-06-19,GB,Carlisle,14:50,Enjoy A Racing TV Free Trial Fillies Novice Stakes (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,6,6,5.0,4,5127974,Opal Storm (GB),3,F,123,67.0,Aiden Brookes,Chris Fairhurst,,,Hot Streak (IRE),Dark Opal (IRE),Camacho
2023-06-19,GB,Carlisle,14:50,Enjoy A Racing TV Free Trial Fillies Novice Stakes (GBB Race),Flat,Class 5,6f,6f,Good To Soft,Turf,6,3,6.0,3,5101971,Bugle Beads (GB),3,F,128,2.62,Cieren Fallon,William Haggas,,,Pivotal (GB),Glitter Girl (GB),Invincible Spirit
2023-06-19,GB,Carlisle,15:50,Every Race Live On Racing TV Handicap,Flat,Class 5,1m3f,11f,Good To Soft,Turf,6,1,1.0,6,4879056,Alpina Express (IRE),3,F,138,2.38,Joe Fanning,Charlie Johnston,4187.2,73.0,Sea The Moon (GER),Adalawa (IRE),Barathea
2023-06-19,GB,Carlisle,15:50,Every Race Live On Racing TV Handicap,Flat,Class 5,1m3f,11f,Good To Soft,Turf,6,6,2.0,4,4273987,Optician (GB),3,G,129,7.0,David Allan,Tim Easterby,1964.8,64.0,Expert Eye (GB),Starlit Sands (GB),Oasis Dream
2023-06-19,GB,Carlisle,15:50,Every Race Live On Racing TV Handicap,Flat,Class 5,1m3f,11f,Good To Soft,Turf,6,3,3.0,7,4586191,Sutue Alshams (IRE),3,G,135,6.5,Andrew Mullen,Iain Jardine,981.6,70.0,Golden Horn (GB),Gile Na Greine (IRE),Galileo
2023-06-19,GB,Carlisle,15:50,Every Race Live On Racing TV Handicap,Flat,Class 5,1m3f,11f,Good To Soft,Turf,6,2,4.0,5,4493060,Dragonball Prince (IRE),3,G,137,10.0,Cieren Fallon,Hugo Palmer,491.2,72.0,Dragon Pulse (IRE),Island Odyssey (GB),Dansili
2023-06-19,GB,Carlisle,15:50,Every Race Live On Racing TV Handicap,Flat,Class 5,1m3f,11f,Good To Soft,Turf,6,5,5.0,1,4467765,Timewave (FR),3,G,133,8.5,Jason Hart,Charlie Johnston,244.8,68.0,Sea The Stars (IRE),Five Fifteen (FR),Zafeen
2023-06-19,GB,Carlisle,15:50,Every Race Live On Racing TV Handicap,Flat,Class 5,1m3f,11f,Good To Soft,Turf,6,4,6.0,2,4493037,Time Traveller (GB),3,G,134,5.5,Oisin Orr,Richard Fahey,,69.0,Harry Angel (IRE),Adonesque (IRE),Sadlers Wells
2023-06-19,GB,Carlisle,15:20,Ann Stewart 60th Birthday Handicap,Flat,Class 6,6f,6f,Good To Soft,Turf,9,2,1.0,6,3579132,Gentle Ellen (IRE),4,F,140,8.5,Joe Fanning,David & Nicola Barron,3402.1,60.0,Bungle Inthejungle (GB),Art Of Gold (GB),Excellent Art
2023-06-19,GB,Carlisle,15:20,Ann Stewart 60th Birthday Handicap,Flat,Class 6,6f,6f,Good To Soft,Turf,9,10,2.0,1,4326495,Stormy Pearl (GB),3,F,127,7.5,Paul Mulrennan,Rebecca Menzies,1596.4,54.0,Night Of Thunder (IRE),Davids Duchess (IRE),Zebedee
2023-06-19,GB,Carlisle,15:20,Ann Stewart 60th Birthday Handicap,Flat,Class 6,6f,6f,Good To Soft,Turf,9,9,3.0,8,2438882,Sharrabang (GB),7,G,127,8.0,Faye McManoman,Stella Barclay,797.55,47.0,Coach House (IRE),Dulally (GB),Dubawi
2023-06-19,GB,Carlisle,15:20,Ann Stewart 60th Birthday Handicap,Flat,Class 6,6f,6f,Good To Soft,Turf,9,8,4.0,4,3097222,Tammany Hall (IRE),5,G,128,3.0,Oisin Orr,Patrick J McKenna,399.1,48.0,No Nay Never (USA),Anna David (GB),Sleeping Indian
2023-06-19,GB,Carlisle,15:20,Ann Stewart 60th Birthday Handicap,Flat,Class 6,6f,6f,Good To Soft,Turf,9,11,5.0,3,4330663,Made Of Lir (GB),3,F,123,34.0,Billy Garritty,Sam England,198.9,50.0,Prince Of Lir (IRE),Dusky Maid (IRE),Dark Angel
2023-06-19,GB,Carlisle,15:20,Ann Stewart 60th Birthday Handicap,Flat,Class 6,6f,6f,Good To Soft,Turf,9,1,6.0,11,1503444,Shabaaby (GB),8,G,137,11.0,Ryan Sexton,Ewan Whillans,,60.0,Kyllachy (GB),On The Brink (GB),Mind Games
2023-06-19,GB,Carlisle,15:20,Ann Stewart 60th Birthday Handicap,Flat,Class 6,6f,6f,Good To Soft,Turf,9,4,7.0,7,4438516,Cawthornes Gem (GB),3,G,130,23.0,Sean Kirrane,Tim Easterby,,60.0,Pivotal (GB),Honour (GB),Dansili
2023-06-19,GB,Carlisle,15:20,Ann Stewart 60th Birthday Handicap,Flat,Class 6,6f,6f,Good To Soft,Turf,9,7,8.0,10,3678016,Basholo (IRE),4,F,124,4.5,Zak Wheatley,Stella Barclay,,49.0,Caravaggio (USA),Golden Shine (GB),Royal Applause
2023-06-19,GB,Carlisle,15:20,Ann Stewart 60th Birthday Handicap,Flat,Class 6,6f,6f,Good To Soft,Turf,9,3,9.0,2,3438026,Little Earl (IRE),4,G,140,10.0,Jason Hart,Ruth Carr,,60.0,Havana Gold (IRE),Majestic Alexander (IRE),Bushranger
2023-06-19,GB,Lingfield (AW),14:00,Royal Ascot On Sky Sports Racing Handicap,Flat,Class 6,2m,16f,Standard,AW,7,7,1.0,6,1483375,Bird For Life (GB),9,M,124,7.0,Jack Mitchell,Mark Usher,3245.08,54.0,Delegator (GB),Birdolini (GB),Bertolini
2023-06-19,GB,Lingfield (AW),14:00,Royal Ascot On Sky Sports Racing Handicap,Flat,Class 6,2m,16f,Standard,AW,7,4,2.0,4,2883393,Beat The Heat (GB),6,G,134,11.0,Charlie Bennett,Jim Boyle,1522.72,64.0,Hot Streak (IRE),Touriga (GB),Cape Cross
2023-06-19,GB,Lingfield (AW),14:00,Royal Ascot On Sky Sports Racing Handicap,Flat,Class 6,2m,16f,Standard,AW,7,3,3.0,7,1741607,Thibault (GB),10,G,134,11.0,Paddy Bradley,Adam West,760.74,67.0,Kayf Tara (GB),Seemarye (GB),Romany Rye
2023-06-19,GB,Lingfield (AW),14:00,Royal Ascot On Sky Sports Racing Handicap,Flat,Class 6,2m,16f,Standard,AW,7,5,4.0,5,1999843,Tin Fandango (GB),8,G,126,17.0,Liam Wright,Mark Usher,380.68,63.0,Steele Tango (USA),Littlemoor Lass (GB),Motivator
2023-06-19,GB,Lingfield (AW),14:00,Royal Ascot On Sky Sports Racing Handicap,Flat,Class 6,2m,16f,Standard,AW,7,2,5.0,2,3098073,Anisoptera (IRE),6,M,137,3.5,William Carson,Brett Johnson,189.72,67.0,Casamento (IRE),Dragonera (GB),Doyen
2023-06-19,GB,Lingfield (AW),14:00,Royal Ascot On Sky Sports Racing Handicap,Flat,Class 6,2m,16f,Standard,AW,7,1,6.0,1,3668355,Yorkindness (GB),4,F,140,2.2,Oisin Murphy,Charlie Johnston,,70.0,Nathaniel (IRE),Yorkidding (GB),Dalakhani
2023-06-19,GB,Lingfield (AW),14:00,Royal Ascot On Sky Sports Racing Handicap,Flat,Class 6,2m,16f,Standard,AW,7,6,,3,2334605,Stormbomber (CAN),7,G,131,34.0,David Egan,Michael Madgwick,,61.0,Stormy Atlantic (USA),Swanky Bubbles (CAN),Ascot Knight
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,3,1.0,2,5089290,Ten Card Brag (IRE),2,C,133,13.0,Saffie Osborne,Jamie Osborne,3564.0,,The Last Lion (IRE),Quiania (IRE),Dansili
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,2,2.0,12,5079054,Pressures On (FR),2,C,133,15.0,Andrea Atzeni,Ed Dunlop,1673.1,,Land Force (IRE),Olvia (IRE),Giants Causeway
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,10,3.0,7,5048081,Bigger Than Giga (IRE),2,F,126,13.0,Benoit De La Sayette,Kevin Philippart De Foy,836.88,,Dandy Man (IRE),Royal Order (USA),Medaglia dOro
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,4,4.0,6,5042481,This Time Maybe (GB),2,C,133,11.0,Pat Dobbs,Richard Hannon,418.44,,Time Test (GB),Leonica (GB),Lion Cavern
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,9,5.0,4,5021450,Xaarine (FR),2,F,128,10.0,Oisin Murphy,David Menuisier,,,Goken (FR),Xaarina (FR),Aussie Rules
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,12,6.0,3,5127993,Lexington Belle (IRE),2,F,126,5.0,Kieran ONeill,Alice Haynes,,,Belardo (IRE),Albemarle (GB),Kings Best
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,8,7.0,9,5021423,Without Flaw (IRE),2,F,128,21.0,Hector Crouch,Archie Watson,,,Too Darn Hot (GB),Anahita (FR),Turtle Bowl
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,6,8.0,11,5021456,Latama (GB),2,F,128,15.0,William Buick,George Boughey,,,Galileo Gold (GB),Queens Code (IRE),Shamardal
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,5,9.0,8,4826926,Zola Power (GB),2,C,133,13.0,David Egan,Richard Hughes,,,Ulysses (IRE),Suerte Loca (IRE),Peintre Celebre
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,1,10.0,10,4924727,Bated Breeze (IRE),2,C,133,4.5,Tom Queally,Eve Johnson Houghton,,,Bated Breath (GB),Olga Da Polga (IRE),Casamento
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,7,11.0,5,5063632,Quiet Affair (GB),2,F,128,5.5,Kevin Stott,Amy Murphy,,,Equiano (FR),Freckles (GB),Arakan
2023-06-19,GB,Lingfield (AW),14:30,Royal Ascot Form Study On attheraces.com Restricted Novice Stakes (Horses In Bands C/D) (GBB Race),Flat,Class 5,6f,6f,Standard,AW,12,11,12.0,1,5082951,Elegant Elloise (IRE),2,F,119,151.0,Shariq Mohd,Alice Haynes,,,U S Navy Flag (USA),Karasiyra (IRE),Alhaarth
2023-06-19,GB,Lingfield (AW),17:00,Faithorn Farrell Timms Handicap,Flat,Class 5,5f,5f,Standard,AW,7,1,1.0,3,4175557,Skallywag Bay (GB),3,F,137,3.75,Pat Dobbs,Richard Hannon,3873.16,72.0,Havana Grey (GB),Bassmah (GB),Harbour Watch
2023-06-19,GB,Lingfield (AW),17:00,Faithorn Farrell Timms Handicap,Flat,Class 5,5f,5f,Standard,AW,7,6,2.0,5,4076274,Cuban Grey (GB),3,G,128,6.0,Jack Mitchell,Robert Cowell,1817.44,63.0,Havana Grey (GB),Tout Va Bien (IRE),Verglas
2023-06-19,GB,Lingfield (AW),17:00,Faithorn Farrell Timms Handicap,Flat,Class 5,5f,5f,Standard,AW,7,7,3.0,1,4538578,Sabah Al Ward (GB),3,F,125,26.0,William Buick,George Boughey,907.98,60.0,Showcasing (GB),Privacy Order (GB),Azamour
2023-06-19,GB,Lingfield (AW),17:00,Faithorn Farrell Timms Handicap,Flat,Class 5,5f,5f,Standard,AW,7,5,4.0,7,4415418,Spirit Of Breeze (IRE),3,G,128,9.0,Tom Queally,Gary Moore,454.36,63.0,Invincible Spirit (IRE),Gender Dance (USA),Miesques Son
2023-06-19,GB,Lingfield (AW),17:00,Faithorn Farrell Timms Handicap,Flat,Class 5,5f,5f,Standard,AW,7,3,5.0,4,4352800,Alpine Girl (IRE),3,F,132,3.25,Benoit De La Sayette,James Fanshawe,226.44,67.0,Acclamation (GB),Almond Brook (GB),Mayson
2023-06-19,GB,Lingfield (AW),17:00,Faithorn Farrell Timms Handicap,Flat,Class 5,5f,5f,Standard,AW,7,2,6.0,2,4303357,Diomed Spirit (GB),3,G,137,4.0,Oisin Murphy,Stuart Williams,,72.0,Charm Spirit (IRE),Dainty Dandy (IRE),Dandy Man
2023-06-19,GB,Lingfield (AW),17:00,Faithorn Farrell Timms Handicap,Flat,Class 5,5f,5f,Standard,AW,7,4,7.0,6,4251620,Destinys Spirit (GB),3,F,130,23.0,David Egan,Dominic Ffrench Davis,,65.0,Lightning Spear (GB),Ellen Gates (GB),Mayson
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,3,1.0,5,5118323,Elegant Madame (IRE),2,F,128,4.0,Kevin Stott,Dominic Ffrench Davis,3564.0,,Inns Of Court (IRE),Koharu (GB),Ishiguru
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,2,2.0,11,5127998,Alnoory (GB),2,F,128,8.0,David Egan,Richard Hughes,1673.1,,Oasis Dream (GB),Tappity Tap (GB),Leroidesanimaux
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,5,3.0,7,5065578,Tokyo Dreamer (GB),2,F,128,10.0,Oisin Murphy,Stuart Williams,836.88,,Advertise (GB),Baliyka (IRE),Cape Cross
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,12,4.0,1,5127994,Ventura Empress (IRE),2,F,126,3.0,Hector Crouch,Archie Watson,418.44,,Highland Reel (IRE),Clifftop Dancer (IRE),Canford Cliffs
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,4,5.0,2,5019623,She Is A Keeper (IRE),2,F,128,7.0,Pat Dobbs,Richard Hannon,,,Profitable (IRE),Dream Craft (IRE),Mastercraftsman
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,7,6.0,3,5034910,Another Gift (GB),2,F,126,34.0,Saffie Osborne,Ed Dunlop,,,Harry Angel (IRE),Timeless Gift (IRE),Camacho
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,11,7.0,10,5017661,Run Joy Run (GB),2,F,126,201.0,Charlie Bennett,Adam West,,,Massaat (IRE),Aquasulis (IRE),Titus Livius
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,8,8.0,9,5073374,Edergoles Gift (IRE),2,F,126,23.0,Kieran ONeill,Conrad Allen,,,Reliable Man (GB),Irishstone (IRE),Danehill Dancer
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,1,9.0,8,5127997,Aljadel (IRE),2,F,128,7.0,Andrea Atzeni,Marco Botti,,,New Bay (GB),Moll Anthony (IRE),Kheleyf
2023-06-19,GB,Lingfield (AW),15:00,Royal Ascot Tips On attheraces.com EBF Fillies Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,Class 5,7f,7f,Standard,AW,10,6,10.0,4,5128000,Tronido (GB),2,F,125,51.0,Paddy Bradley,Simon Dow,,,Aclaim (IRE),Vezere (USA),Point Given
2023-06-19,GB,Lingfield (AW),15:30,Play With The Finest Bookmaker Fitzdares Handicap,Flat,Class 3,1m2f,10f,Standard,AW,6,1,1.0,6,4340205,Sea The Casper (IRE),4,G,144,1.91,James Doyle,Simon & Ed Crisford,8208.0,97.0,Sea The Stars (IRE),October Queen (IRE),Iffraaj
2023-06-19,GB,Lingfield (AW),15:30,Play With The Finest Bookmaker Fitzdares Handicap,Flat,Class 3,1m2f,10f,Standard,AW,6,5,2.0,5,3626704,Paris Lights (IRE),4,G,130,5.0,William Buick,George Boughey,3853.2,83.0,Siyouni (FR),Cabaret (IRE),Galileo
2023-06-19,GB,Lingfield (AW),15:30,Play With The Finest Bookmaker Fitzdares Handicap,Flat,Class 3,1m2f,10f,Standard,AW,6,3,3.0,1,3735132,Kitsune Power (IRE),4,G,142,15.0,David Egan,Roger Varian,1927.36,95.0,Holy Roman Emperor (IRE),Fire Heroine (USA),Pivotal
2023-06-19,GB,Lingfield (AW),15:30,Play With The Finest Bookmaker Fitzdares Handicap,Flat,Class 3,1m2f,10f,Standard,AW,6,4,4.0,3,3721421,Nader (GB),4,G,141,5.5,Kieran ONeill,Saeed bin Suroor,963.68,94.0,Iffraaj (GB),Manaboo (USA),Hard Spun
2023-06-19,GB,Lingfield (AW),15:30,Play With The Finest Bookmaker Fitzdares Handicap,Flat,Class 3,1m2f,10f,Standard,AW,6,6,5.0,4,4175314,One Night Thunder (GB),3,C,128,15.0,Pat Dobbs,Richard Hannon,,93.0,Night Of Thunder (IRE),Elis Eliz (IRE),Lord Shanakill
2023-06-19,GB,Lingfield (AW),15:30,Play With The Finest Bookmaker Fitzdares Handicap,Flat,Class 3,1m2f,10f,Standard,AW,6,2,6.0,2,3562207,Masekela (IRE),4,G,143,11.0,Oisin Murphy,Andrew Balding,,96.0,El Kabeir (USA),Ladys Purse (GB),Doyen
2023-06-19,GB,Lingfield (AW),16:00,Download Fitzdares For Free Race Streaming Handicap,Flat,Class 6,1m2f,10f,Standard,AW,13,7,1.0,13,3189714,Star Of Epsom (GB),5,M,130,8.0,Paddy Bradley,Pat Phelan,3245.08,50.0,Sir Percy (GB),Isabella Beeton (GB),Archipenko
2023-06-19,GB,Lingfield (AW),16:00,Download Fitzdares For Free Race Streaming Handicap,Flat,Class 6,1m2f,10f,Standard,AW,13,6,2.0,3,3092733,Lisdarragh (USA),5,G,136,10.0,David Egan,Denis Coakley,1522.72,53.0,Hit It A Bomb (USA),Thewholeshebang (USA),In Summation
